Freq,Pol,SR,Pos,Dir,Inv,FEC,Sys,Mod,RO,Pilot
3586,2,8000,49.1,E,2,9,1,2,0,2
3594,3,5120,49.1,E,2,9,1,2,0,2
3622,3,5130,49.1,E,2,9,1,2,0,2
3627,2,20580,49.1,E,2,9,1,1,0,2
3628,3,5120,49.1,E,2,9,1,2,0,2
3643,3,15284,49.1,E,2,9,1,2,0,2
3653,2,20580,49.1,E,2,9,1,1,0,2
3662,3,15284,49.1,E,2,9,1,2,0,2
3696,3,5120,49.1,E,2,9,1,2,0,2
3704,3,5130,49.1,E,2,9,1,2,0,2
3704,2,15284,49.1,E,2,9,1,2,0,2
3709,3,5130,49.1,E,2,9,1,2,0,2
3803,2,5130,49.1,E,2,9,1,2,0,2
3822,2,5130,49.1,E,2,9,1,2,0,2
3858,2,5120,49.1,E,2,9,1,2,0,2
3873,3,5130,49.1,E,2,9,1,2,0,2
3882,3,5130,49.1,E,2,9,1,2,0,2
3921,3,5130,49.1,E,2,9,1,2,0,2
3964,2,5120,49.1,E,2,9,1,2,0,2
3977,2,15284,49.1,E,2,9,1,2,0,2
4018,2,5120,49.1,E,2,9,1,2,0,2
