Freq,Pol,SR,Pos,Dir,Inv,FEC,Sys,Mod,RO,Pilot,MuxURL
3720,2,26380,45.1,E,2,9,1,1,1,0,2,https://www.lyngsat.com/muxes/Cosmos-2520_beam_3720-L.html
3760,2,26380,45.1,E,2,9,1,1,1,0,2,https://www.lyngsat.com/muxes/Cosmos-2520_beam_3760-L.html
