Freq,Pol,SR,Pos,Dir,Inv,FEC,Sys,Mod,RO,Pilot,pids-plps,isi,plsmode-plsvalue,prov,MuxURL
4063,2,33900,3.1,E,2,9,1,1,3,0,"{4096,1;4098,0;4098,1;4100,0;4100,1}","1,4,5","{0,0;0,0;0,0;0,0;0,0}",TMT,https://www.lyngsat.com/muxes/Eutelsat-3B_Global_4063-L.html
4099,2,33900,3.1,E,2,9,1,1,3,0,"{4097,0;4097,1;4099,0;4099,1;4099,2;4099,3;4099,4}","2,3","{0,0;0,0;0,0;0,0;0,0;0,0;0,0}",TMT,https://www.lyngsat.com/muxes/Eutelsat-3B_Global_4099-L.html
