1,TMT promo,1
2,TVM,1
3,TV Miramar,1
4,Soico TV,1
5,TV Sucesso,1
7,TVM Internacional,1
10,Eco TV,1
11,Luz TV,1
12,Limpopo TV,1
13,Ram TV,1
16,Tua TV,1
19,RTI,1
20,Reino Infantil TV,1
32,TV Maná Moçambique,1
33,Kingdom TV,1
34,TV Acção,1
35,TV Glória,1
36,Ebenezer TV,1
38,TV Verdade,1
45,TLN Network,1
52,ST Novela P,1
173,RTP África,1
174,TVI Internacional,1
252,ST Sports Premium,1
254,ST World Football,1
453,ST Mania,1
914,EP Niassa,2
915,EP Sofala,2
916,EP Zambezia,2
919,EP Tete,2
920,EP Gaza,2
921,Rádio Cidade Maputo,2
922,EP Manica,2
923,EP Maputo,2
924,RM Desporto,2
