146,AMC Series (S1),1
147,AMC Movies (S1),1
149,Romanza+ Africa (S1),1
172,[MTV Base info card] (S1),1
174,Trace Mziki (S1),1
183,National Geographic South Africa (S1),1
192,Discovery Channel Africa (S1),1
200,Investigation Discovery Africa (S1),1
220,Nickelodeon Africa (S1),1
221,Boing Africa (S1),1
222,Fix & Foxi (S1),1
223,Baby TV Europe (S1),1
225,CBeebies Africa (S1),1
227,Cartoonito Africa (S1),1
230,BBC News Africa (S1),1
239,CNN International Europe (S1),1
290,Star Plus Middle East (S1),1
400,TBC 1 (S1),1
401,Tanzania Safari Channel (S1),1
402,Channel Ten (S1),1
404,Star TV(Tanzania) (S1),1
405,ZBC TV(Tanzania) (S1),1
407,TV E (S1),1
413,Zamaradi TV (S1),1
414,Cheka Plus (S1),1
455,Mahaasin TV (S1),1
456,TV Imaan (S1),1
465,Upendo TV (S1),1
466,Hope Channel Tanzania (S1),1
467,WRM TV (S1),1
468,Emmanuel TV(Nigeria) (S1),1
469,Arise & Shine TV (S1),1
470,Tumaini TV (S1),1
