7731,PershiyПерший,1
7733,Suspilne KulturaСуспільне Культура,1
7750,Espreso TV,1
7760,Inter,1
7770,1+1 International,1
7771,1+1 Marafon1+1 Марафон,1
7780,ICTV(Ukraine),1
7781,Telekanal STBСТБ,1
7782,Novy KanalНовий канал,1
7710,Ukrayinske RadioУкраїнське радіо,2
7712,Radio ProminРадіо Промінь,2
7714,Radio KulturaРадіо Культура,2
7716,Radio TochkaРадіо Точка,2
7718,Holos DonbasuГолос Донбасу,2
7722,Armiya FMАрмія FM,2
7724,Radio NVРадіо НВ,2
1,Armiya TVАрмія ТБ,1
2,Rada,1
3,Megogo Sport,1
4,My-UkrainaМи-Україна,1
5,[test card],1
6,[test card],1
7,Svit+,1
8,[test card],1
9,PershiyПерший,1
10,Suspilne KulturaСуспільне Культура,1
11,[test card],1
12,[test card],1
